urbrur;n;iter;diff_rel
1;2502;1;0.00155352882263317
2;2502;1;-0.0012656502778134
1;2502;2;-0.0376183425268742
2;2502;2;0.0306474298876014
1;2502;3;0.0184686550871933
2;2502;3;-0.0150462985310607
1;2502;4;-0.0251545652793037
2;2502;4;0.0204932680167875
1;2502;5;-0.0269351048860995
2;2502;5;0.021943862569761
1;2502;6;0.0184686550871933
2;2502;6;-0.0150462985310607
1;2502;7;0.0149075758736017
2;2502;7;-0.012145109425114
1;2502;8;0.000663259019235322
2;2502;8;-0.000540353001326638
1;2502;9;0.00600487783962267
2;2502;9;-0.00489213666024702
1;2502;10;-0.0242642954759058
2;2502;10;0.0197679707403009
1;2502;11;-0.0198129464589163
2;2502;11;0.0161414843578673
1;2502;12;0.0113464966600101
2;2502;12;-0.00924392031916719
1;2502;13;-0.00378808999775417
2;2502;13;0.00308613338110678
1;2502;14;-0.0207032162623142
2;2502;14;0.0168667816343541
1;2502;15;-0.0207032162623142
2;2502;15;0.0168667816343541
1;2502;16;-0.0189226766555184
2;2502;16;0.0154161870813807
1;2502;17;-0.0162518672453247
2;2502;17;0.0132402952519207
1;2502;18;-0.0322767237064868
2;2502;18;0.0262956462286812
1;2502;19;0.00600487783962267
2;2502;19;-0.00489213666024702
1;2502;20;0.00600487783962267
2;2502;20;-0.00489213666024702
1;2502;21;0.0425059397789365
2;2502;21;-0.0346293249962017
1;2502;22;-0.0296059142962932
2;2502;22;0.0241197543992211
1;2502;23;-0.0278253746894973
2;2502;23;0.0226691598462478
1;2502;24;-0.0527529291846385
2;2502;24;0.0429774835878753
1;2502;25;-0.0171421370487227
2;2502;25;0.0139655925284072
1;2502;26;-0.00200755039095835
2;2502;26;0.00163553882813345
1;2502;27;0.00956595705321431
2;2502;27;-0.00779332576619367
1;2502;28;-0.021593486065712
2;2502;28;0.0175920789108408
1;2502;29;0.0273713531211722
2;2502;29;-0.0222992712959277
1;2502;30;-0.0153615974419268
2;2502;30;0.0125149979754339
1;2502;31;0.021139464497387
2;2502;31;-0.0172221903605208
1;2502;32;-0.013581057835131
2;2502;32;0.0110644034224606
1;2502;33;0.0398351303687428
2;2502;33;-0.0324534331667416
1;2502;34;0.0425059397789365
2;2502;34;-0.0346293249962017
1;2502;35;0.0318227021381617
2;2502;35;-0.0259257576783613
1;2502;36;0.0336032417449575
2;2502;36;-0.0273763522313347
1;2502;37;-0.00912970881814152
2;2502;37;0.00743791704002695
1;2502;38;-0.0296059142962932
2;2502;38;0.0241197543992211
1;2502;39;0.00333406842942899
2;2502;39;-0.00271624483078693
1;2502;40;-0.00200755039095835
2;2502;40;0.00163553882813345
1;2502;41;0.0238102739075806
2;2502;41;-0.0193980821899809
1;2502;42;0.0327129719415596
2;2502;42;-0.0266510549548479
1;2502;43;0.021139464497387
2;2502;43;-0.0172221903605208
1;2502;44;0.0140173060702038
2;2502;44;-0.0114198121486273
1;2502;45;-0.0126907880317332
2;2502;45;0.0103391061459738
1;2502;46;0.012236766463408
2;2502;46;-0.00996921759565375
1;2502;47;-0.0144713276385289
2;2502;47;0.0117897006989471
1;2502;48;0.000663259019235322
2;2502;48;-0.000540353001326638
1;2502;49;-0.0180324068521205
2;2502;49;0.014690889804894
1;2502;50;0.0300421625313658
2;2502;50;-0.0244751631253878
1;2502;51;0.0451767491891302
2;2502;51;-0.0368052168256618
1;2502;52;0.00155352882263317
2;2502;52;-0.0012656502778134
1;2502;53;-0.0251545652793037
2;2502;53;0.0204932680167875
1;2502;54;0.000663259019235322
2;2502;54;-0.000540353001326638
1;2502;55;-0.0153615974419268
2;2502;55;0.0125149979754339
1;2502;56;0.0344935115483553
2;2502;56;-0.0281016495078214
1;2502;57;-0.0073491692113457
2;2502;57;0.00598732248705363
1;2502;58;-0.013581057835131
2;2502;58;0.0110644034224606
1;2502;59;-0.00200755039095835
2;2502;59;0.00163553882813345
1;2502;60;-0.0198129464589163
2;2502;60;0.0161414843578673
1;2502;61;0.00689514764302064
2;2502;61;-0.00561743393673358
1;2502;62;0.0540794472231091
2;2502;62;-0.0440581895905288
1;2502;63;-0.0073491692113457
2;2502;63;0.00598732248705363
1;2502;64;-0.013581057835131
2;2502;64;0.0110644034224606
1;2502;65;-0.0447405009540574
2;2502;65;0.0364498080994951
1;2502;66;-0.0367280727234763
2;2502;66;0.0299221326111146
1;2502;67;0.0184686550871933
2;2502;67;-0.0150462985310607
1;2502;68;0.0193589248905912
2;2502;68;-0.0157715958075475
1;2502;69;0.00956595705321431
2;2502;69;-0.00779332576619367
1;2502;70;-0.0207032162623142
2;2502;70;0.0168667816343541
1;2502;71;-0.00378808999775417
2;2502;71;0.00308613338110678
1;2502;72;0.00244379862603114
2;2502;72;-0.00199094755430016
1;2502;73;0.00867568724981634
2;2502;73;-0.0070680284897071
1;2502;74;-0.013581057835131
2;2502;74;0.0110644034224606
1;2502;75;0.00867568724981634
2;2502;75;-0.0070680284897071
1;2502;76;0.0398351303687428
2;2502;76;-0.0324534331667416
1;2502;77;-0.0109102484249373
2;2502;77;0.00888851159300028
1;2502;78;-0.0189226766555184
2;2502;78;0.0154161870813807
