iter;tot_exp;exp_01;exp_07;exp_10
1;28909451852.0477;9314575401.784;2730802406.72905;1360205462.47392
2;29107852288.4794;9270889091.2903;2726816512.41623;1350227614.99763
3;29042899623.1346;9317576164.29888;2759684513.23252;1344486947.41086
4;28882873072.233;9301565814.92979;2706653275.29449;1370068600.31124
5;28823312026.2805;9312030667.76604;2723905041.26257;1341170546.78607
6;28937773327.5648;9322677823.16705;2766082989.241;1365822456.0712
7;29045450927.9594;9304205870.45642;2712483721.46424;1354380245.27364
8;28854808810.2157;9294468425.11107;2732493114.95757;1383083660.89074
9;29005074246.8577;9266438711.25932;2749528531.64894;1350678614.25773
10;29031556341.6632;9243983883.46539;2739157537.41788;1356724665.85501
11;28710673356.0989;9298096540.5608;2727858729.08009;1357059340.56715
12;28878638578.2416;9302881939.74909;2707967940.50096;1364790822.98775
13;28922610328.4478;9289411561.12042;2749848431.90892;1351693313.05575
14;29211090271.8628;9282699780.24302;2728070839.9285;1362120298.81608
15;28875864155.0348;9299863223.54423;2703161066.2769;1368347042.34092
16;29078125808.2109;9302147659.56918;2705631506.87682;1364277698.92966
17;28845829620.1584;9299529378.49843;2687869215.44228;1356362868.14372
18;28771305215.699;9278515529.02497;2717524243.12699;1374692367.95309
19;29015856650.1721;9301299479.07917;2714165407.409;1343901208.66277
20;29041891104.64;9274996353.01444;2721151764.13125;1364034413.02035
21;29010168449.0858;9310429150.61293;2741953198.80029;1351951822.20868
22;28962182626.0539;9273431781.62655;2718991258.09663;1369635898.8228
23;28894588632.6323;9246775305.10268;2725590117.32043;1348271763.73067
24;29019621974.4342;9308145537.88419;2722656610.61249;1367133794.86075
25;28862509273.4024;9280776041.05871;2735133272.01817;1357610566.76956
26;28861559644.6532;9332171282.78303;2723906646.62991;1355329213.43633
27;28859194499.4075;9264245282.50065;2714752494.8465;1364461160.28669
28;29072463461.0319;9313412385.60315;2716718686.16512;1347974129.3261
29;28948117391.1813;9315097360.9121;2707206388.09478;1356006790.46253
30;28845177946.5783;9333155111.39539;2738362996.28266;1385779408.7893
31;29009529321.0224;9282513088.35999;2689452665.6033;1374997172.455
32;29096137074.7686;9310669393.51483;2762094236.24608;1355290202.30237
33;28886237449.1439;9294696278.27003;2730037012.32617;1349398471.6967
34;28625416161.9949;9288826737.8946;2751736771.57733;1356462811.13816
35;28916127438.7383;9258957057.02558;2732363656.47042;1368881126.25882
36;29229619068.1447;9272186194.87771;2709517705.01975;1361757321.95157
37;29071360959.4545;9281567138.39951;2767050618.904;1364579779.53708
38;29217644357.7286;9274035965.25586;2720242343.80586;1378098739.87394
39;28829445884.287;9298571524.10339;2714691532.94365;1384553600.79793
40;29023356826.9364;9281135110.45669;2682228572.18212;1353764458.68678
41;29167409162.611;9322608066.17155;2719242050.25786;1335697253.55539
42;28781041087.2711;9304609937.13263;2730729569.00483;1358841710.57136
43;29000379832.9599;9272031979.17773;2745297684.77619;1377326348.5211
44;28625160044.1377;9310156488.09091;2725320412.97138;1361206887.50315
45;28953814873.2892;9297957721.7043;2716685598.24167;1358814394.92253
46;29210009288.6424;9272440621.67422;2742672284.18845;1359644043.71293
47;28812912591.6831;9297065860.00642;2718996620.89173;1366145630.22025
48;28797547063.1669;9263790971.15761;2717216160.58057;1340498704.60942
49;29016395789.9598;9257482676.89491;2692028650.46041;1361847777.70507
50;28890013817.4607;9304668985.28775;2722194007.83079;1348466400.15019
51;28704036279.2833;9286928498.88502;2729221916.39457;1368490760.3878
52;28926145049.8962;9303728938.56851;2742989326.14158;1369010314.70836
53;28997877375.9622;9293852994.14233;2714271114.67761;1353582857.07294
54;29082899486.3774;9327507715.99848;2733154809.48352;1357466097.90349
55;28789248849.4573;9275338849.3422;2751280649.59752;1369861541.48794
56;28798437609.4354;9332082591.1573;2738132005.82956;1367914492.8111
57;28966718870.3038;9250748833.36831;2729473345.54336;1352554510.51103
58;28856182550.1705;9283257006.86826;2751572686.14273;1361899919.60514
59;29033678019.0553;9301935310.31583;2761489060.02967;1374796121.14448
60;29022787290.9776;9318740238.2371;2735417526.50642;1375702892.46607
61;28740427130.2334;9275577013.42055;2701069101.69375;1357621394.62067
62;28918692171.4354;9299774800.49435;2701072948.94576;1380850131.52496
63;28853871704.7535;9271351784.23;2718593860.90767;1349139626.79596
64;29133801385.9468;9254699063.18252;2723164188.6184;1364016502.2234
