hid;geo1;geo2;ea;urbrur;hhsize;statocc;rooms;bedrooms;floor;walls;roof;water;toilet;electricity;cook_fuel;car;bicycle;motorcycle;refrigerator;tv;radio;bank;exp_01;exp_02;exp_03;exp_04;exp_05;exp_06;exp_07;exp_08;exp_09;exp_10;exp_11;exp_12;NIi;piIi;sI;nII;sII
0d6969fb5d6;2;25;25001;1;5;1;3;2;2;;1;21;;1;2;0;0;1;1;;0;0;2124;;412;;94;;237;;51;340;;;18294;0.0877495997809538;1;183;1
36d94ff8439;2;25;25001;1;5;1;;2;2;3;5;;13;1;5;0;0;1;1;1;1;1;;;;5783;;256;;460;;;1388;797;18294;0.0877495997809538;1;183;1
54c894ceb53;2;25;25002;2;6;1;4;2;2;3;1;11;11;1;2;0;0;;1;0;1;0;;68;;;;;903;;;1542;;;18294;0.0877495997809538;1;183;1
34a035ace76;2;25;25002;2;4;1;4;2;6;3;1;11;;1;2;1;0;1;1;1;1;1;;;1542;6330;1445;;;1648;993;2821;797;1396;18294;0.0877495997809538;1;183;1
da57f1db138;2;25;25002;2;2;1;3;;6;3;1;11;11;1;2;1;0;1;1;1;1;1;;57;;5867;1382;379;3104;1403;703;;;998;18294;0.0877495997809538;1;183;1
4cdd8ff41de;2;25;25002;2;3;1;2;2;2;3;1;21;11;1;2;;;;1;1;1;1;3337;;669;3519;444;;;;;505;;837;18294;0.0877495997809538;1;183;1
d4f49dfecf9;2;25;25003;1;4;1;1;1;1;2;5;42;31;1;4;0;0;0;0;0;1;0;4795;100;280;;261;;;;285;68;;;18294;0.0877495997809538;1;183;1
7b4e405f081;2;25;25003;1;4;1;3;;1;3;1;21;22;1;4;0;1;0;0;0;1;0;;71;;2032;;172;;174;124;;209;;18294;0.0877495997809538;1;183;1
7eb9c502f7c;2;25;25003;1;3;1;2;1;1;7;5;96;23;0;4;0;0;0;0;0;1;0;;;;976;308;;143;210;59;32;;213;18294;0.0877495997809538;1;183;1
c5eac59e2a0;2;25;25004;1;5;1;2;1;2;7;;43;22;1;4;0;;0;0;0;1;0;;;550;;;;;;125;;;;18294;0.0877495997809538;1;183;1
188d9a592cd;2;25;25004;1;6;1;2;1;1;5;5;32;31;0;4;0;0;0;0;0;1;;3965;;;288;;;245;;;;139;128;18294;0.0877495997809538;1;183;1
2ab79bfcc8f;2;25;25004;1;7;;2;2;2;2;7;43;22;;4;;0;0;0;0;1;0;;232;724;814;;;832;309;302;585;579;273;18294;0.0877495997809538;1;183;1
0c1f1024d18;2;25;25004;1;5;1;1;1;2;3;5;43;23;0;4;0;0;0;0;1;0;1;6378;;;967;;;1266;;333;;474;197;18294;0.0877495997809538;1;183;1
da11402160b;2;25;25004;1;4;1;1;1;1;2;7;43;31;0;4;0;0;0;0;0;0;0;5707;;;758;;73;;;;;;29;18294;0.0877495997809538;1;183;1
3616acac52a;2;25;25005;1;6;1;4;1;;3;5;32;31;0;4;0;0;0;0;0;1;0;3671;;;;284;;;;96;102;;103;18294;0.0877495997809538;1;183;1
7c867f764d2;2;25;25005;1;7;1;1;1;2;5;5;21;31;1;4;0;0;0;0;0;;0;5809;;;405;414;;;;130;637;339;;18294;0.0877495997809538;1;183;1
9de5360899b;2;25;25005;1;6;1;3;2;2;;5;96;;1;5;0;0;0;0;1;1;0;;;;1821;;;;97;593;;783;;18294;0.0877495997809538;1;183;1
3f5d2bba5a7;2;25;25005;1;7;;2;1;;5;4;21;31;0;6;0;0;0;0;0;0;0;3278;;;349;;146;129;;37;;71;;18294;0.0877495997809538;1;183;1
df0561e9309;2;25;25006;1;6;1;3;3;2;3;1;21;21;1;4;0;0;0;1;1;1;1;4433;88;;3002;;;;132;;;;;18294;0.0877495997809538;1;183;1
8481e8f89d0;2;25;25007;1;6;1;1;1;1;2;;21;14;0;2;0;0;0;0;0;0;0;;11;298;964;;;124;;45;71;;;18294;0.0877495997809538;1;183;1
64854e9a75d;2;25;25007;1;5;1;1;1;1;3;7;;31;0;4;;0;0;0;0;0;0;;213;;;;;;11;42;;;;18294;0.0877495997809538;1;183;1
4169473e09f;2;25;25007;1;5;2;1;1;1;;7;43;31;0;4;0;0;0;0;0;0;0;;;;;135;;;13;49;;;24;18294;0.0877495997809538;1;183;1
021eb971793;2;25;25007;1;4;1;1;1;1;5;7;43;31;0;5;0;0;0;;0;0;0;2524;159;;383;248;;146;;;;;121;18294;0.0877495997809538;1;183;1
46f6d9e04c1;2;25;25007;1;4;1;1;1;1;2;8;43;31;0;4;0;0;0;;;0;0;;;;849;132;;;;24;;;;18294;0.0877495997809538;1;183;1
edc11a8fb0c;2;25;25008;1;4;1;2;1;2;3;1;21;22;1;;0;0;0;1;0;1;1;2737;27;;2418;149;148;372;;;526;228;;18294;0.0877495997809538;1;183;1
4fbae8f68d0;2;25;25008;1;4;1;1;1;6;3;5;;21;1;2;0;0;0;1;1;1;1;;;661;2530;;;;;127;;;;18294;0.0877495997809538;1;183;1
8ad19d9ed67;2;25;25008;1;3;1;2;;2;3;1;;12;1;2;1;;1;1;1;;1;;;384;2357;183;;;;;;;549;18294;0.0877495997809538;1;183;1
c96ccf9495a;2;25;25009;2;4;3;2;2;2;3;1;21;11;1;2;0;;1;1;0;1;1;2926;;;2641;;;;;151;623;;;18294;0.0877495997809538;1;183;1
d87b003428f;2;25;25009;2;3;1;3;3;6;3;1;71;11;1;2;1;1;1;1;1;1;1;;58;;5310;;;;1240;;1199;;;18294;0.0877495997809538;1;183;1
9222c1b8e0d;2;25;25009;2;4;1;3;2;1;3;8;11;31;1;;0;0;;0;;0;0;2195;13;400;;102;;;;;446;;;18294;0.0877495997809538;1;183;1
880e4f3e099;2;25;25009;2;4;1;4;3;6;3;1;11;;1;2;1;0;1;1;1;0;1;;76;;;1412;;;1994;;;816;1516;18294;0.0877495997809538;1;183;1
2ca4ba00397;2;25;25010;1;8;1;;1;1;5;7;43;31;0;4;;0;0;0;0;0;0;3689;244;334;354;286;;;;;165;;;18294;0.0877495997809538;1;183;1
51ae6519c22;2;25;25010;1;6;1;1;1;1;;7;43;31;0;4;0;0;0;0;0;0;0;7485;128;142;885;;84;;15;62;29;46;31;18294;0.0877495997809538;1;183;1
