hid;idno;relation;sex;age;age_month;occupation;industry;migrate_recent;disability
000188150c0;1;1;1;30;;6;1;20;0
0005c56faea;1;1;;75;;0;0;0;0
000a9d37c36;1;1;1;48;;2;14;20;0
000a9d37c36;2;2;2;45;;;0;20;0
000a9d37c36;3;3;2;5;;0;0;20;0
000a9d37c36;4;3;1;16;;;;30;0
000a9d37c36;5;3;1;23;;0;0;30;0
000afc9dcc9;1;1;1;43;;3;6;30;0
000afc9dcc9;2;2;2;22;;0;0;30;0
000afc9dcc9;3;3;2;1;13;;0;30;0
000e72039c5;1;1;2;42;;0;;;1
000e72039c5;2;3;1;10;;0;0;10;0
000e72039c5;3;3;;12;;0;0;10;0
000e72039c5;4;3;2;14;;0;0;10;0
000e72039c5;5;;2;18;;;0;10;0
000e72039c5;6;4;1;7;;0;0;20;0
000fe4b5b6a;1;1;1;62;;6;1;11;0
000fe4b5b6a;2;2;2;58;;0;0;11;0
000fe4b5b6a;3;3;1;10;;0;0;30;0
000fe4b5b6a;4;3;1;14;;0;0;11;
000fe4b5b6a;5;3;2;17;;0;;11;0
000fe4b5b6a;6;3;1;19;;0;0;11;0
000fe4b5b6a;7;3;2;22;;0;0;11;0
000fe4b5b6a;8;3;1;24;;0;0;11;0
000fe4b5b6a;9;4;2;69;;0;0;99;1
001e4465b10;1;1;1;37;;3;0;20;0
001e4465b10;2;2;2;37;;3;13;11;0
001e4465b10;3;3;1;12;;0;0;99;0
001e4465b10;4;3;2;14;;;0;99;0
001e4465b10;5;4;1;23;;0;0;0;0
001e4465b10;6;4;2;25;;0;0;20;
00240025562;1;1;1;42;;1;11;10;0
00240025562;2;2;2;41;;2;12;10;0
00240025562;3;3;1;12;;0;0;99;0
00240025562;4;3;1;15;;0;0;10;0
0029567cbcf;1;;1;72;;0;0;10;0
0029567cbcf;2;2;2;62;;0;0;30;0
00339617d91;1;1;2;38;;9;6;20;0
00339617d91;2;2;1;43;;0;0;30;0
00414142581;1;1;2;31;;0;0;99;0
00414142581;2;3;1;3;47;0;0;30;0
00414142581;3;3;1;13;;0;0;99;0
005313798e5;1;1;;40;;0;0;0;0
005313798e5;2;3;1;13;;0;;99;0
005313798e5;3;3;1;18;;9;5;99;0
005313798e5;4;3;1;18;;9;5;11;0
005313798e5;5;4;1;18;;9;5;12;0
0053c0c339f;1;1;1;71;;0;0;30;0
0053c0c339f;2;2;2;70;;0;0;30;0
0053c0c339f;3;3;1;48;;8;8;30;0
0053c0c339f;4;3;2;50;;2;12;30;0
0053c0c339f;5;4;1;17;;0;0;30;0
0053c0c339f;6;4;2;29;;3;;0;0
00618ca0689;1;1;1;42;;7;6;99;0
00618ca0689;2;2;2;37;;0;0;20;0
00618ca0689;3;3;1;17;;0;0;99;0
006ae686480;1;1;1;37;;8;8;99;0
006ae686480;2;2;2;28;;0;0;;0
006ae686480;3;3;1;6;;0;0;20;0
006ae686480;4;3;2;10;;0;0;20;
006b4433c22;1;1;;37;;5;6;20;0
006b4433c22;2;2;2;30;;4;9;20;0
006b4433c22;3;3;1;5;;0;;20;0
006b4433c22;4;3;1;8;;0;0;20;0
006b4433c22;5;3;2;11;;0;0;20;0
00712e0f890;1;1;2;71;;0;0;99;0
00712e0f890;2;3;1;39;;0;0;99;0
00712e0f890;3;4;1;14;;0;0;99;0
00712e0f890;4;4;1;15;;0;0;99;0
00712e0f890;5;4;2;18;;0;0;99;0
00712e0f890;6;4;1;20;;0;0;;0
00712e0f890;7;4;2;41;;;7;99;0
007e14de364;1;1;;48;;6;1;12;
007e14de364;2;2;2;53;;6;1;99;0
007e14de364;3;3;1;4;59;0;0;99;0
007e14de364;4;3;2;5;;;0;99;1
007e14de364;5;3;1;12;;0;0;11;
007e14de364;6;4;1;0;7;0;0;12;0
007e14de364;7;4;2;2;32;0;0;12;
007e14de364;8;4;2;18;;6;1;0;0
007e14de364;9;4;2;21;;6;1;12;0
008b81472a9;1;1;1;28;;9;2;99;0
00938e9a58d;1;1;1;52;;3;12;11;
00938e9a58d;2;2;2;46;;0;0;12;0
00938e9a58d;3;3;2;23;;0;0;12;1
00938e9a58d;4;3;1;25;;1;6;12;0
00938e9a58d;5;3;1;26;;;12;12;
00938e9a58d;6;4;2;7;;0;0;12;0
00938e9a58d;7;4;2;81;;0;0;12;0
009720bafa0;1;1;1;55;;7;3;20;0
009720bafa0;2;2;2;47;;9;;11;
009720bafa0;3;3;2;21;;4;10;11;0
009720bafa0;4;4;1;24;;4;9;11;
009b6d86284;1;1;2;38;;6;1;10;0
009b6d86284;2;3;2;9;;0;0;99;0
009b6d86284;3;3;2;12;;0;0;99;0
009b6d86284;4;3;2;16;;0;;;0
009b6d86284;5;3;2;18;;0;0;99;0
009d8f82c12;1;1;1;78;;0;0;99;0
009d8f82c12;2;2;2;53;;0;0;99;0
009d8f82c12;3;3;1;26;;9;1;0;0
009d8f82c12;4;3;1;32;;0;;12;0
009d8f82c12;5;4;1;0;2;0;0;10;
009d8f82c12;6;4;2;2;34;0;0;10;0
009d8f82c12;7;4;1;3;41;0;0;10;0
009d8f82c12;8;4;2;21;;;0;;0
009d8f82c12;9;4;2;23;;0;;0;0
00c6acee51d;1;1;1;;;8;3;30;0
00c6acee51d;2;2;2;36;;7;3;30;0
00c6acee51d;3;3;;5;;0;0;30;
00c6acee51d;4;3;2;14;;0;0;30;0
00cd9206d3a;1;1;1;54;;7;3;20;
00cd9206d3a;2;;2;52;;0;0;11;0
00d2219b128;1;1;2;50;;9;6;11;0
00d2219b128;2;3;2;23;;0;0;11;0
00d2219b128;3;4;1;24;;5;3;11;
00d26f53356;1;1;1;59;;;6;11;
00d26f53356;2;2;2;55;;0;0;11;
00d26f53356;3;3;2;8;;0;;11;0
00d26f53356;4;5;2;39;;0;0;11;0
00e1f98a2f0;1;1;1;44;;6;1;11;0
0105afa4c5a;1;1;2;98;;0;0;12;0
011cd51fe8e;1;1;1;60;;9;3;11;0
011cd51fe8e;2;2;1;57;;0;0;11;0
011cd51fe8e;3;3;1;34;;11;0;11;0
011cd51fe8e;4;4;1;59;;7;6;11;0
011d9ce09a6;1;1;1;52;;;0;20;1
011d9ce09a6;2;2;2;52;;0;0;99;0
012761ea95c;1;1;;31;;6;1;30;0
012761ea95c;2;2;2;26;;6;1;30;0
012761ea95c;3;3;2;4;51;0;0;30;
012761ea95c;4;3;1;6;;0;;30;0
012761ea95c;5;3;2;8;;0;0;30;0
0134500d39b;1;1;1;58;;3;10;12;0
0134500d39b;2;2;2;48;;3;;12;0
0134500d39b;3;3;2;7;;0;0;12;0
0134500d39b;4;3;2;17;;0;0;12;0
0134500d39b;5;3;1;22;;0;0;;0
013e384046a;1;1;1;53;;6;1;99;0
013e384046a;2;2;2;44;;0;0;99;
013e384046a;3;3;1;5;;0;0;99;0
013e384046a;4;3;2;9;;;0;99;0
013e384046a;5;3;2;13;;0;0;99;0
013e384046a;6;3;2;25;;0;0;;0
01485415b8f;1;1;1;42;;5;11;11;0
01485415b8f;2;2;2;34;;0;0;99;0
01485415b8f;3;3;2;3;41;0;0;11;0
01485415b8f;4;3;2;26;;0;0;30;0
01485415b8f;5;4;2;2;28;0;0;10;0
01485415b8f;6;5;2;22;;;;0;0
014ba1afea4;1;1;1;49;;2;;20;0
014ba1afea4;2;2;2;44;;0;0;20;0
014ba1afea4;3;3;1;14;;0;0;;0
014ba1afea4;4;3;1;16;;;0;99;0
014ba1afea4;5;3;1;22;;0;0;10;0
014ba1afea4;6;3;1;24;;2;13;0;
014ba1afea4;7;4;2;16;;0;0;20;
014ba1afea4;8;4;2;86;;0;0;99;0
014ba1afea4;9;4;1;86;;0;0;20;
0153b8fa1d0;1;;1;38;;9;1;12;0
0153b8fa1d0;2;2;2;38;;0;0;12;0
0153b8fa1d0;3;3;2;9;;;0;12;0
0153b8fa1d0;4;3;2;11;;0;0;12;0
0153b8fa1d0;5;3;1;13;;0;0;30;0
0153b8fa1d0;6;3;2;15;;0;0;11;0
015a3699148;1;1;1;;;5;6;0;
015a3699148;2;2;2;49;;0;0;20;
015a3699148;3;3;1;15;;0;0;30;0
015a3699148;4;3;1;20;;;6;30;0
015a3699148;5;3;1;25;;5;6;10;0
015a3699148;6;3;1;25;;3;;20;0
015a3699148;7;4;2;0;;0;0;10;0
015a3699148;8;4;2;20;;3;11;99;0
015a3699148;9;4;2;23;;3;7;30;0
015b1afba57;1;1;1;34;;3;3;12;0
01626386bfa;1;1;1;57;;6;1;20;0
01626386bfa;2;2;2;34;;6;1;99;0
01626386bfa;3;3;2;7;;0;0;99;0
0166b0247dc;1;1;2;25;;0;0;20;0
0166b0247dc;2;3;2;4;52;0;0;10;
0166b0247dc;3;3;2;11;;0;0;99;0
017419a9960;1;1;1;42;;;3;99;0
017419a9960;2;2;2;39;;0;0;99;0
